_id,title,genres,poster
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,http://image.tmdb.org/t/p/w342/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,http://image.tmdb.org/t/p/w342/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,http://image.tmdb.org/t/p/w342/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg
5,Father of the Bride Part II (1995),Comedy,http://image.tmdb.org/t/p/w342/e64sOI48hQXyru7naBFyssKFxVd.jpg
6,Heat (1995),Action|Crime|Thriller,http://image.tmdb.org/t/p/w342/zMyfPUelumio3tiDKPffaUpsQTD.jpg
7,Sabrina (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/1IEh4aaryCphIxVW0rbUKclEIqz.jpg
8,Tom and Huck (1995),Adventure|Children,http://image.tmdb.org/t/p/w342/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
9,Sudden Death (1995),Action,http://image.tmdb.org/t/p/w342/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,http://image.tmdb.org/t/p/w342/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,http://image.tmdb.org/t/p/w342/lymPNGLZgPHuqM29rKMGV46ANij.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,http://image.tmdb.org/t/p/w342/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg
13,Balto (1995),Adventure|Animation|Children,http://image.tmdb.org/t/p/w342/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
14,Nixon (1995),Drama,http://image.tmdb.org/t/p/w342/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,http://image.tmdb.org/t/p/w342/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
16,Casino (1995),Crime|Drama,http://image.tmdb.org/t/p/w342/jC0dqpkRMwh3A1X2PHahTxOaLbp.jpg
17,Sense and Sensibility (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
18,Four Rooms (1995),Comedy,http://image.tmdb.org/t/p/w342/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,http://image.tmdb.org/t/p/w342/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,http://image.tmdb.org/t/p/w342/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,http://image.tmdb.org/t/p/w342/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,http://image.tmdb.org/t/p/w342/80czeJGSoik22fhtUM9WzyjUU4r.jpg
23,Assassins (1995),Action|Crime|Thriller,http://image.tmdb.org/t/p/w342/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
24,Powder (1995),Drama|Sci-Fi,http://image.tmdb.org/t/p/w342/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
25,Leaving Las Vegas (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg
26,Othello (1995),Drama,http://image.tmdb.org/t/p/w342/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg
27,Now and Then (1995),Children|Drama,http://image.tmdb.org/t/p/w342/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
28,Persuasion (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/p0SAkCFD02wj2gekOvFilMjzs3j.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,http://image.tmdb.org/t/p/w342/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,http://image.tmdb.org/t/p/w342/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
31,Dangerous Minds (1995),Drama,http://image.tmdb.org/t/p/w342/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,http://image.tmdb.org/t/p/w342/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
33,Wings of Courage (1995),Adventure|Romance|IMAX,http://image.tmdb.org/t/p/w342/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg
34,Babe (1995),Children|Drama,http://image.tmdb.org/t/p/w342/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
35,Carrington (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/gDfNtG02BvvXZOpDV0lbFXjzPu5.jpg
36,Dead Man Walking (1995),Crime|Drama,http://image.tmdb.org/t/p/w342/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg
37,Across the Sea of Time (1995),Documentary|IMAX,http://image.tmdb.org/t/p/w342/lKOAyy098yjoot8cutYsStVO1WS.jpg
38,It Takes Two (1995),Children|Comedy,http://image.tmdb.org/t/p/w342/l67WJL3Mjce1yoEgL4HheR5v75D.jpg
39,Clueless (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/i8gEHh2sszB6YWLC0jl559sxAeN.jpg
40,"Cry, the Beloved Country (1995)",Drama,http://image.tmdb.org/t/p/w342/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg
41,Richard III (1995),Drama|War,http://image.tmdb.org/t/p/w342/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
42,Dead Presidents (1995),Action|Crime|Drama,http://image.tmdb.org/t/p/w342/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
43,Restoration (1995),Drama,http://image.tmdb.org/t/p/w342/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,http://image.tmdb.org/t/p/w342/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
45,To Die For (1995),Comedy|Drama|Thriller,http://image.tmdb.org/t/p/w342/zCREx8trzejNieDLUsRuwLU0cS3.jpg
46,How to Make an American Quilt (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,http://image.tmdb.org/t/p/w342/mX8SsTw2uApc02W8SBIKeprcWr1.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,http://image.tmdb.org/t/p/w342/qk95miOV8wDABbO5gyCpCrvbVFu.jpg
49,When Night Is Falling (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,http://image.tmdb.org/t/p/w342/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
51,Guardian Angel (1994),Action|Drama|Thriller,http://image.tmdb.org/t/p/w342/v47WGWZ3est1zT5Vkzu6QYKNNdb.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,http://image.tmdb.org/t/p/w342/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg
53,Lamerica (1994),Adventure|Drama,http://image.tmdb.org/t/p/w342/407nYlg60AOj95lqDZ4tvUTTm1k.jpg
54,"Big Green, The (1995)",Children|Comedy,http://image.tmdb.org/t/p/w342/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg
55,Georgia (1995),Drama,http://image.tmdb.org/t/p/w342/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,http://image.tmdb.org/t/p/w342/1y8KAZOKrdmTI2sddcilcbRsMtI.jpg
57,Home for the Holidays (1995),Drama,http://image.tmdb.org/t/p/w342/a8MslR6deQQVe8JR542XDSwHiPB.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,http://image.tmdb.org/t/p/w342/k7Bg8WaFeSMWwxCKX2BhGjNMTjA.jpg
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,http://image.tmdb.org/t/p/w342/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,http://image.tmdb.org/t/p/w342/l16BtfILyWxYwSqzofL3V1rMSwe.jpg
61,Eye for an Eye (1996),Drama|Thriller,http://image.tmdb.org/t/p/w342/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
62,Mr. Holland's Opus (1995),Drama,http://image.tmdb.org/t/p/w342/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,http://image.tmdb.org/t/p/w342/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg
64,Two if by Sea (1996),Comedy|Romance,http://image.tmdb.org/t/p/w342/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg
65,Bio-Dome (1996),Comedy,http://image.tmdb.org/t/p/w342/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,http://image.tmdb.org/t/p/w342/i0hBsWBLw64XRehFzCL44PaCs1y.jpg
67,Two Bits (1995),Drama,http://image.tmdb.org/t/p/w342/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,http://image.tmdb.org/t/p/w342/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg
69,Friday (1995),Comedy,http://image.tmdb.org/t/p/w342/z76scMklBnEC91CFqHcvqrS5coO.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,http://image.tmdb.org/t/p/w342/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg
71,Fair Game (1995),Action,http://image.tmdb.org/t/p/w342/yE8uba2FkmFagMpeNNoo0cPyJ7D.jpg
72,Kicking and Screaming (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/8TFMhymotxmyNqf1SMLXW1xjbko.jpg
73,"Misérables, Les (1995)",Drama|War,http://image.tmdb.org/t/p/w342/qEsrAHoxj746FRb7OLGYjrx1AI3.jpg
74,Bed of Roses (1996),Drama|Romance,http://image.tmdb.org/t/p/w342/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg
75,Big Bully (1996),Comedy|Drama,http://image.tmdb.org/t/p/w342/wtFekK9VKWujQW9R9c6sYbir6wm.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,http://image.tmdb.org/t/p/w342/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg
77,Nico Icon (1995),Documentary,http://image.tmdb.org/t/p/w342/tuIDKBp92R4tGFOB46MofvakfiY.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,http://image.tmdb.org/t/p/w342/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg
79,"Juror, The (1996)",Drama|Thriller,http://image.tmdb.org/t/p/w342/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,http://image.tmdb.org/t/p/w342/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,http://image.tmdb.org/t/p/w342/ysKIolKO0376Nl5DV1fDAAPudEq.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/9UJF0JZAqUXWALywncpvpeepXo6.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg
84,Last Summer in the Hamptons (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg
85,Angels and Insects (1995),Drama|Romance,http://image.tmdb.org/t/p/w342/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg
86,White Squall (1996),Action|Adventure|Drama,http://image.tmdb.org/t/p/w342/3a5nomeyzJF4gG26HouCtce99ki.jpg
87,Dunston Checks In (1996),Children|Comedy,http://image.tmdb.org/t/p/w342/mvbJSNMRzM7epjeJMT3vFxXydQJ.jpg
88,Black Sheep (1996),Comedy,http://image.tmdb.org/t/p/w342/8YoL8WSHv7UKTq7iziI7SrRmdql.jpg
89,Nick of Time (1995),Action|Thriller,http://image.tmdb.org/t/p/w342/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg
90,"Journey of August King, The (1995)",Drama,http://image.tmdb.org/t/p/w342/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,http://image.tmdb.org/t/p/w342/Oesh4pN5J2ing4flkgkiVdxILP.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,http://image.tmdb.org/t/p/w342/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,http://image.tmdb.org/t/p/w342/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,http://image.tmdb.org/t/p/w342/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,http://image.tmdb.org/t/p/w342/6u2N0gn6uUWF4cSdkXmVB8E8q2X.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,http://image.tmdb.org/t/p/w342/qnktsZ5SemAJXl0eVO5TSs0qAW5.jpg
98,Shopping (1994),Action|Thriller,http://image.tmdb.org/t/p/w342/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,http://image.tmdb.org/t/p/w342/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg
100,City Hall (1996),Drama|Thriller,http://image.tmdb.org/t/p/w342/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,http://image.tmdb.org/t/p/w342/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg
102,Mr. Wrong (1996),Comedy,http://image.tmdb.org/t/p/w342/8oZW1loLEczN1BU60YobsJJFdSR.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,http://image.tmdb.org/t/p/w342/eUGehaQhjc9Q8kqlZP16akfx7R4.jpg
104,Happy Gilmore (1996),Comedy,http://image.tmdb.org/t/p/w342/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,http://image.tmdb.org/t/p/w342/czRuGEx9Yhnh6nApirTLPToxHNu.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,http://image.tmdb.org/t/p/w342/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,http://image.tmdb.org/t/p/w342/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg
108,Catwalk (1996),Documentary,http://image.tmdb.org/t/p/w342/yhFcbTCnsWjg3nH3PLL6RoltjqS.jpg
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,http://image.tmdb.org/t/p/w342/tQ6HEWNxvbeF2WklTVEp3su446F.jpg
110,Braveheart (1995),Action|Drama|War,http://image.tmdb.org/t/p/w342/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,http://image.tmdb.org/t/p/w342/ekstpH614fwDX8DUln1a2Opz0N8.jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,http://image.tmdb.org/t/p/w342/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg
113,Before and After (1996),Drama|Mystery,http://image.tmdb.org/t/p/w342/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg
114,Margaret's Museum (1995),Drama,http://image.tmdb.org/t/p/w342/l00ALsdVyRGmPIp5EWlEoplki0X.jpg
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,http://image.tmdb.org/t/p/w342/90leVz0WMn1YVy6YEHs7zlHOMBn.jpg
116,Anne Frank Remembered (1995),Documentary,http://image.tmdb.org/t/p/w342/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,http://image.tmdb.org/t/p/w342/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg
118,If Lucy Fell (1996),Comedy|Romance,http://image.tmdb.org/t/p/w342/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg
119,"Steal Big, Steal Little (1995)",Comedy,http://image.tmdb.org/t/p/w342/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg
120,Race the Sun (1996),Adventure|Comedy|Drama,http://image.tmdb.org/t/p/w342/2jPKKhZqbMYszH5z1cL7AZuoBiL.jpg
121,"Boys of St. Vincent, The (1992)",Drama,http://image.tmdb.org/t/p/w342/lqUDQqisW5CpkxTPJXvWXCsZgdk.jpg
122,Boomerang (1992),Comedy|Romance,http://image.tmdb.org/t/p/w342/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,http://image.tmdb.org/t/p/w342/xthdUIjbJfcp8y7pDBaELkxEn97.jpg
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,http://image.tmdb.org/t/p/w342/vDrGDkGny3KnjiQyOJ425nCtl7x.jpg
125,Flirting With Disaster (1996),Comedy,http://image.tmdb.org/t/p/w342/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,http://image.tmdb.org/t/p/w342/driZCEKL79PaCsZNICSU3xd59sk.jpg
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,http://image.tmdb.org/t/p/w342/3M4bH7A2L6wrHeueTUwr5PKYkfS.jpg
128,Jupiter's Wife (1994),Documentary,http://image.tmdb.org/t/p/w342/uUi23HjvDFYGfuVlCBGozUY1Ab4.jpg
129,Pie in the Sky (1996),Comedy|Romance,http://image.tmdb.org/t/p/w342/iZs2BzP1nbrcHCDX3QEHa3Nn0y4.jpg
